"","participant_id","visualization_size","mean_correct","mean_time_taken"
"60","5ec7ad7b3e940a21883b8007"," s3",1,1638.28181818152
"61","5eda126ec6a418029cb19e91"," s1",0.939393939393939,1096.45454545458
"62","5eda126ec6a418029cb19e91"," s2",1,1155.53636363636
"63","5eda126ec6a418029cb19e91"," s3",0.96969696969697,1653.99090909091
"64","5ee9fda0e490e30248fae454"," s1",0.848484848484849,10918.0242424242
"65","5ee9fda0e490e30248fae454"," s2",0.939393939393939,13168.7545454545
"66","5ee9fda0e490e30248fae454"," s3",0.818181818181818,7918.38484848473
"67","5f0c68879df0505d10a18c33"," s1",1,1388.86060605876
"68","5f0c68879df0505d10a18c33"," s2",1,1220.92424242861
"69","5f0c68879df0505d10a18c33"," s3",1,1705.57878787355
"70","5f0d98c1c8a2f100082295b8"," s1",0.939393939393939,857.548939393818
"71","5f0d98c1c8a2f100082295b8"," s2",1,1699.21984848476
"72","5f0d98c1c8a2f100082295b8"," s3",0.909090909090909,1418.52106060609
"73","5f1b1710fe31fc2bc20c0451"," s1",0.878787878787879,1610.13939393973
"74","5f1b1710fe31fc2bc20c0451"," s2",0.909090909090909,1325.6757575757
"75","5f1b1710fe31fc2bc20c0451"," s3",0.939393939393939,1422.16060606027
"76","5f21ba3d626bc35d21b012b6"," s1",1,36561.7454545462
"77","5f21ba3d626bc35d21b012b6"," s2",1,1562.16363636361
"78","5f21ba3d626bc35d21b012b6"," s3",0.96969696969697,1823.506060606
"79","5f29da32c8c0b418b57e5f00"," s1",1,1460.14848484718
"80","5f29da32c8c0b418b57e5f00"," s2",1,1386.73939394336
"81","5f29da32c8c0b418b57e5f00"," s3",1,1856.06363636606
"82","5f5a61631c93d2104246c959"," s1",0.96969696969697,1704.87878787879
"83","5f5a61631c93d2104246c959"," s2",0.96969696969697,1847.72727272727
"84","5f5a61631c93d2104246c959"," s3",0.96969696969697,1734
"85","5f8568d460bd670009af15a2"," s1",1,1566.93939393939
"86","5f8568d460bd670009af15a2"," s2",1,2712.72727272727
"87","5f8568d460bd670009af15a2"," s3",0.939393939393939,2656.57575757576
"88","5fa001ec46bf970156046101"," s1",1,1674.9030303023
"89","5fa001ec46bf970156046101"," s2",1,1578.21515151503
"90","5fa001ec46bf970156046101"," s3",1,2605.97272727333
"91","5fcfba90c8ec13123bfa1b31"," s1",0.96969696969697,1135.48484848485
"92","5fcfba90c8ec13123bfa1b31"," s2",1,942.545454545455
"93","5fcfba90c8ec13123bfa1b31"," s3",0.939393939393939,1712.45454545455
"94","5ffd9c1fa9ce78311d95e9ed"," s1",1,982.533333333061
"95","5ffd9c1fa9ce78311d95e9ed"," s2",0.96969696969697,987.030303030151
"96","5ffd9c1fa9ce78311d95e9ed"," s3",1,3056.55454545445
"97","600ef6eb3bed2d01e87ea82e"," s1",0.939393939393939,1817.6000000003
"98","600ef6eb3bed2d01e87ea82e"," s2",1,1527.34545454636
"99","600ef6eb3bed2d01e87ea82e"," s3",0.96969696969697,2168.86969697082
"100","60188bd6df239a1617cce54f"," s1",1,1453.18181818182
"101","60188bd6df239a1617cce54f"," s2",1,2341.51515151515
"102","60188bd6df239a1617cce54f"," s3",1,2044.30303030303
"103","60217b04d6f48714c0876a76"," s1",0.939393939393939,1940.98484848445
"104","60217b04d6f48714c0876a76"," s2",0.96969696969697,1786.02121212115
"105","60217b04d6f48714c0876a76"," s3",1,2208.32121212152
"106","602568254ef2f30ac8cb1866"," s1",0.939393939393939,1781.05454545485
"107","602568254ef2f30ac8cb1866"," s2",0.909090909090909,1512.10303030342
"108","602568254ef2f30ac8cb1866"," s3",0.96969696969697,1585.85151515242
"109","602a8a02aa844c09dcb58723"," s1",1,1207.78787878788
"110","602a8a02aa844c09dcb58723"," s2",1,1302.75757575758
"111","602a8a02aa844c09dcb58723"," s3",1,2013.33333333333
"112","6030fd3ba11bc8fb5a7e90c1"," s1",0.96969696969697,2306.30606060606
"113","6030fd3ba11bc8fb5a7e90c1"," s2",0.939393939393939,1744.25757575758
"114","6030fd3ba11bc8fb5a7e90c1"," s3",1,2432.02424242424
"115","6042bd428e681f21563734ad"," s1",1,1908.73636363667
"116","6042bd428e681f21563734ad"," s2",0.96969696969697,2396.75757575761
"117","6042bd428e681f21563734ad"," s3",0.939393939393939,2323.4727272717
"118","604f7d68e55b6c1f282d9359"," s1",0.96969696969697,5063.84848484848
"119","604f7d68e55b6c1f282d9359"," s2",0.96969696969697,2218.21212121212
"120","604f7d68e55b6c1f282d9359"," s3",1,2423.72727272727
