"","participant_id","system_generated_id","experiment_sequence","experiment_order","is_main_trial","task","visualization_size","trial_order","image_file_order","answering_time","answer","image_file_name","timestamp","page_name","answer_numeric"
"47","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",32,77,1434.10000001," correct"," T2S1D2-27-s1_77_t1lt2lt3r"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"48","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",33,53,1451," correct"," T2S1D2-28-s1_53_t1rt2rt3r"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"49","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S1-D2",1," t2"," s1",34,67,926.700000011," correct"," T2S1D2-29-s1_67_t1lt2lt3l"," 2021-03-24T10:57:22+0100"," trial_T2_S1_D2",1
"171","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",2,101,882.400000002," correct"," T2S2D3-1-s2_101_t1rt2lt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"181","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",3,114,1308.59999999," error"," T2S2D3-2-s2_114_t1rt2lt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",0
"191","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",4,99,2549.60000003," correct"," T2S2D3-3-s2_99_t1lt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"201","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",5,83,1111.70000001," correct"," T2S2D3-4-s2_83_t1rt2rt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"211","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",6,103,745.599999966," correct"," T2S2D3-5-s2_103_t1rt2lt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"221","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",7,300,852.700000047," correct"," T2S2D3-attn-s2_300_t2l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"231","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",8,91,966.099999961," correct"," T2S2D3-6-s2_91_t1rt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"241","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",9,105,738.500000036," correct"," T2S2D3-7-s2_105_t1lt2lt3l"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
"251","5e8246ca68080c971aca80b1"," 09b8e6ada74530ab61fa036967687405",49," T2-S2-D3",1," t2"," s2",10,98,868.499999982," correct"," T2S2D3-8-s2_98_t1lt2rt3r"," 2021-03-24T10:58:43+0100"," trial_T2_S2_D3",1
