timestamp,participant_id,condition,study_id,session_id
2020-11-22T12:48:04+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T12:48:10+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T12:49:44+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T12:50:08+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T12:50:20+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T13:03:58+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T13:04:09+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T13:04:17+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T13:13:38+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T13:13:48+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T13:13:54+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T13:31:46+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T13:36:22+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T13:36:33+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T13:36:38+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T14:09:07+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:09:12+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:11:06+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T14:11:16+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:13:07+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:13:16+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:13:22+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:13:51+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:14:03+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:14:07+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:14:14+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:14:19+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:14:23+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:14:28+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:14:33+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:14:56+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:15:28+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:17:50+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:20:18+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T14:20:27+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:20:31+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:20:34+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:20:39+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:23:50+0100,DEBUG,f1_level1_f2_level1,1,1
2020-11-22T14:23:57+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:24:02+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:27:55+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:29:50+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:29:56+0100,DEBUG,f1_level1_f2_level2,1,1
2020-11-22T14:34:56+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T14:35:32+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T14:36:27+0100,DEBUG,f1_level2_f2_level1,1,1
2020-11-22T15:20:00+0100,DEBUG,f1_level2_f2_level2,1,1
2020-11-22T15:20:16+0100,DEBUG,f1_level1_f2_level1,1,1
